proDelta[0] proIdx[0] proValid[0] proReady[0] proDelta[1] proIdx[1] proValid[1] proReady[1] proDelta[2] proIdx[2] proValid[2] proReady[2] proDelta[3] proIdx[3] proValid[3] proReady[3] proDelta[4] proIdx[4] proValid[4] proReady[4] proDelta[5] proIdx[5] proValid[5] proReady[5] proDelta[6] proIdx[6] proValid[6] proReady[6] proDelta[7] proIdx[7] proValid[7] proReady[7] CUDelta[0] CUIdx[0] CUValid[0] CUReady[0] CUDelta[1] CUIdx[1] CUValid[1] CUReady[1] CUDelta[2] CUIdx[2] CUValid[2] CUReady[2] CUDelta[3] CUIdx[3] CUValid[3] CUReady[3] CUDelta[4] CUIdx[4] CUValid[4] CUReady[4] CUDelta[5] CUIdx[5] CUValid[5] CUReady[5] CUDelta[6] CUIdx[6] CUValid[6] CUReady[6] CUDelta[7] CUIdx[7] CUValid[7] CUReady[7] 
3857 ae 1 0 0000 00 0 0 3b5b 8a 1 1 0000 00 0 0 3980 dc 1 0 3532 ee 1 0 0000 00 0 0 03a1 48 1 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 2b6d 9e 1 1 21ff a7 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 
3857 ae 1 0 39b1 87 1 0 0000 00 0 0 35fd 00 1 0 3980 dc 1 0 3532 ee 1 0 0000 00 0 0 03a1 48 1 0 0000 00 0 1 3b5b 8a 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 
3857 ae 1 0 39b1 87 1 1 3a76 a7 1 0 35fd 00 1 0 3980 dc 1 0 3532 ee 1 0 0000 00 0 0 03a1 48 1 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3857 ae 1 0 0000 00 0 0 3a76 a7 1 0 35fd 00 1 0 3980 dc 1 0 3532 ee 1 0 39a3 e3 1 0 03a1 48 1 0 39b1 87 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 
3857 ae 1 0 3147 3a 1 0 3a76 a7 1 0 35fd 00 1 0 3980 dc 1 0 3532 ee 1 0 39a3 e3 1 0 03a1 48 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3857 ae 1 0 3147 3a 1 1 3a76 a7 1 1 35fd 00 1 0 3980 dc 1 0 3532 ee 1 1 39a3 e3 1 0 03a1 48 1 0 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 1 
3857 ae 1 0 3b3b 35 1 0 0000 00 0 0 35fd 00 1 0 3980 dc 1 0 0000 00 0 0 39a3 e3 1 0 03a1 48 1 0 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 3a76 a7 1 1 3532 ee 1 1 0000 00 0 1 3147 3a 1 1 
3857 ae 1 0 3b3b 35 1 1 0000 00 0 0 35fd 00 1 0 3980 dc 1 1 34ad 6a 1 0 39a3 e3 1 0 03a1 48 1 1 0000 00 0 0 0000 00 0 1 0000 00 0 1 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 1 0000 00 0 0 
3857 ae 1 0 0000 00 0 0 2435 26 1 0 35fd 00 1 0 395c f8 1 0 34ad 6a 1 0 39a3 e3 1 0 3482 16 1 0 0000 00 0 1 03a1 48 1 1 0000 00 0 1 3980 dc 1 1 0000 00 0 0 0000 00 0 0 3b3b 35 1 1 0000 00 0 0 
3857 ae 1 0 3bd2 c7 1 0 2435 26 1 0 35fd 00 1 1 395c f8 1 0 34ad 6a 1 0 39a3 e3 1 0 3482 16 1 1 0000 00 0 1 0000 00 0 0 0000 00 0 1 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 0000 00 0 0 
